id_str,favorite_count,retweet_count,statuses_count,user_favourites_count,list_count,friends_count,followers_count,full_text
666020888022790149,2388,458,12577,145790,5733,17,8824209,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj
666029285002620928,120,42,12577,145790,5733,17,8824209,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI
666033412701032449,111,41,12577,145790,5733,17,8824209,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR
666044226329800704,268,130,12577,145790,5733,17,8824209,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx
666049248165822465,96,40,12577,145790,5733,17,8824209,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq
666050758794694657,124,51,12577,145790,5733,17,8824209,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe
666051853826850816,1114,765,12577,145790,5733,17,8824209,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc
666055525042405380,407,218,12577,145790,5733,17,8824209,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt
666057090499244032,267,123,12577,145790,5733,17,8824209,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O
666058600524156928,105,52,12577,145790,5733,17,8824209,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p
666063827256086533,446,195,12577,145790,5733,17,8824209,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK
666071193221509120,135,52,12577,145790,5733,17,8824209,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx
666073100786774016,293,145,12577,145790,5733,17,8824209,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY
666082916733198337,102,41,12577,145790,5733,17,8824209,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7
666094000022159362,153,66,12577,145791,5733,17,8824854,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP
666099513787052032,142,58,12577,145790,5733,17,8824209,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C
666102155909144576,70,11,12577,145790,5733,17,8824209,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq
666104133288665088,13498,5913,12577,145790,5733,17,8824210,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX
666268910803644416,95,32,12577,145790,5733,17,8824210,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk
666273097616637952,159,70,12577,145790,5733,17,8824210,Can take selfies 11/10 https://t.co/ws2AMaNwPW
666287406224695296,135,60,12577,145790,5733,17,8824210,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv
666293911632134144,461,314,12577,145790,5733,17,8824210,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0
666337882303524864,180,83,12577,145790,5733,17,8824210,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL
666345417576210432,273,128,12577,145790,5733,17,8824210,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB
666353288456101888,196,64,12577,145790,5733,17,8824211,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO
666362758909284353,715,513,12577,145790,5733,17,8824211,Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet https://t.co/XMD9CwjEnM
666373753744588802,171,81,12577,145790,5733,17,8824211,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl
666396247373291520,156,73,12577,145790,5733,17,8824211,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE
666407126856765440,99,32,12577,145790,5733,17,8824211,This is a southern Vesuvius bumblegruff. Can drive a truck (wow). Made friends with 5 other nifty dogs (neat). 7/10 https://t.co/LopTBkKa8h
666411507551481857,407,291,12577,145791,5733,17,8824856,This is quite the dog. Gets really excited when not in water. Not very soft tho. Bad at fetch. Can't do tricks. 2/10 https://t.co/aMCTNWO94t
666418789513326592,113,41,12577,145790,5733,17,8824211,This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10 https://t.co/qXpcwENTvn
666421158376562688,294,104,12577,145790,5733,17,8824211,*internally screaming* 12/10 https://t.co/YMcrXC2Y6R
666428276349472768,152,74,12577,145790,5733,17,8824211,Here we have an Austrian Pulitzer. Collectors edition. Levitates (?). 7/10 would garden with https://t.co/NMQq6HIglK
666430724426358785,293,175,12577,145790,5733,17,8824211,Oh boy what a pup! Sunglasses take this one to the next level. Weirdly folds front legs. Pretty big. 6/10 https://t.co/yECbFrSArM
666435652385423360,156,47,12577,145790,5733,17,8824211,"""Can you behave? You're ruining my wedding day""
DOG: idgaf this flashlight tastes good as hell

10/10 https://t.co/GlFZPzqcEU"
666437273139982337,115,42,12577,145790,5733,17,8824211,Here we see a lone northeastern Cumberbatch. Half ladybug. Only builds with bricks. Very confident with body. 7/10 https://t.co/7LtjBS0GPK
666447344410484738,97,18,12577,145790,5733,17,8824211,This is Scout. She is a black Downton Abbey. Isn't afraid to get dirty. 9/10 nothing bad to say https://t.co/kH60oka1HW
666454714377183233,483,198,12577,145790,5733,17,8824211,I'll name the dogs from now on. This is Kreggory. He does parkour. 10/10 https://t.co/uPqPeXAcua
666644823164719104,220,75,12577,145790,5733,17,8824211,This is Jimothy. He is a Botwanian Gouda. Can write (impressive). Very erect tail. Still looking for hoco date. 9/10 https://t.co/LEkZjZxESQ
666649482315059201,1053,576,12577,145790,5733,17,8824211,Cool dog. Enjoys couch. Low monotone bark. Very nice kicks. Pisses milk (must be rare). Can't go down stairs. 4/10 https://t.co/vXMKrJC81s
